id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_appointment_type_public,appointment.type.public,model_appointment_type,base.group_public,1,0,0,0
access_appointment_type_user,appointment.type.user,model_appointment_type,group_appointment_user,1,0,0,0
access_appointment_type_manager,appointment.type.manager,model_appointment_type,group_appointment_manager,1,1,1,1
access_appointment_slot_public,appointment.slot.public,model_appointment_slot,base.group_public,1,0,0,0
access_appointment_slot_user,appointment.slot.user,model_appointment_slot,group_appointment_user,1,0,0,0
access_appointment_slot_manager,appointment.slot.manager,model_appointment_slot,group_appointment_manager,1,1,1,1
access_appointment_booking_public,appointment.booking.public,model_appointment_booking,base.group_public,1,0,1,0
access_appointment_booking_portal,appointment.booking.portal,model_appointment_booking,base.group_portal,1,0,1,0
access_appointment_booking_user,appointment.booking.user,model_appointment_booking,group_appointment_user,1,1,1,0
access_appointment_booking_manager,appointment.booking.manager,model_appointment_booking,group_appointment_manager,1,1,1,1
access_appointment_question_public,appointment.question.public,model_appointment_question,base.group_public,1,0,0,0
access_appointment_question_user,appointment.question.user,model_appointment_question,group_appointment_user,1,0,0,0
access_appointment_question_manager,appointment.question.manager,model_appointment_question,group_appointment_manager,1,1,1,1
access_appointment_availability_public,appointment.availability.public,model_appointment_availability,base.group_public,1,0,0,0
access_appointment_availability_user,appointment.availability.user,model_appointment_availability,group_appointment_user,1,0,0,0
access_appointment_availability_manager,appointment.availability.manager,model_appointment_availability,group_appointment_manager,1,1,1,1
access_resource_resource_user,resource.resource.appointment.user,resource.model_resource_resource,group_appointment_user,1,0,0,0
access_resource_resource_manager,resource.resource.appointment.manager,resource.model_resource_resource,group_appointment_manager,1,1,1,1
